coreData_id,coreData_speed,coreData_accelset_long,coreData_accelset_lat,t,x,y,perReportID,corrupted,peerReported
8664210,469.001733887134,-20.0000339739179,-57.0000021061334,59.3490012,-82.4474875928582,27.9540816779761,8965636,1,1
8664210,468.999845818498,-20.0000264772194,-57.0000032662305,59.3490012,-82.4477820435765,27.9540198190368,8965636,1,1
8664210,468.999869759137,-19.9999693659737,-57.0000208810706,59.3490012,-82.4475029683839,27.9540813001913,8965636,1,1
8965636,461.999288994331,-19.000020820415,-76.0000087097347,59.6000007999999,-82.4477478686661,27.9540516656348,8965636,1,0
8965636,461.002800197442,-31.0000367220431,-45.9999992867661,59.7000008,-82.4477681245266,27.954009560208,8965636,1,0
8965636,461,-31,-46,59.7000008,-82.4476727,27.9540291,8664210,0,1
8965636,461,-31,-46,59.7000008,-82.4476727,27.9540291,8664210,0,1
8965636,533.001867942088,-31.9999764313538,-19.0000044032308,59.9500008,-82.4455939672588,27.9566908990206,8965636,1,0
8965636,537.999961560541,-26.0000093334904,-69.9999910818471,60.0500007999999,-82.445622334812,27.956682288947,8965636,1,0
8664210,461,-31,-46,60.0500012,-82.4476727,27.9540291,8664210,0,0
8664210,458,-48,-44,60.1500012000001,-82.4476807,27.9540248,8664210,0,0
8664210,535,-43,-28,60.2000012000001,-82.4456075,27.9566898,8664210,0,0
8664210,456,-36,-45,60.2500012,-82.4476887,27.9540205,8664210,0,0
8664210,533,-32,-19,60.3000012,-82.4456077,27.9566802,8664210,0,0
8664210,538,-26,-70,60.4000012000001,-82.4456075,27.9566696,8664210,0,0
8965636,533.999707335966,-18.0000412261165,-94.9999937122946,60.5000008,-82.4455704943289,27.9566413157503,8965636,1,0
8664210,465,-13,-83,60.5500012,-82.4477134,27.9540061,8664210,0,0
8664210,540,6,37,60.5500012,-82.4456075,27.956655,8664210,0,0
8965636,536.99905740722,-5.99993943333768,-53.999996832254,60.5990007999999,-82.4456725264149,27.9566361051804,8965636,1,0
8965636,535.001770291521,-50.0000112713964,-22.999993428168,60.7000008,-82.4456343230122,27.9566389032732,8965636,1,0
8664210,458,-88,-78,60.7500012,-82.4477291,27.953997,8664210,0,0
